(1458, 227)
(1461, 227)
(1463, 227)
(1460, 227)
(1454, 228)
(1446, 228)
(1437, 229)
(1419, 230)
(1411, 232)
(1401, 235)
(1397, 237)
(1382, 238)
(1377, 239)
(1368, 240)
(1360, 242)
(1349, 245)
(1342, 245)
(1330, 246)
(1324, 246)
(1307, 248)
(1298, 249)
(1277, 249)
(1270, 249)
(1258, 248)
(1253, 248)
(1243, 248)
(1236, 248)
(1223, 246)
(1216, 246)
(1204, 246)
(1197, 246)
(1193, 244)
(1189, 242)
(1177, 239)
(1177, 236)
(1169, 232)
(1159, 228)
(1151, 225)
(1144, 223)
(1136, 222)
(1131, 222)
(1125, 221)
(1123, 221)
(1120, 221)
(1115, 221)
(1109, 222)
(1105, 224)
(1102, 226)
(1098, 228)
(1089, 231)
(1083, 234)
(1077, 235)
(1072, 237)
(1066, 241)
(1062, 243)
(1058, 246)
(1056, 249)
(1054, 251)
(1050, 255)
(1047, 257)
(1044, 260)
(1039, 262)
(1037, 262)
(1036, 261)
(1033, 261)
(1027, 260)
(1023, 258)
(1017, 255)
(1013, 252)
(1007, 249)
(1004, 246)
(1000, 243)
(996, 243)
(990, 242)
(986, 241)
(983, 240)
(982, 240)
(981, 240)
(980, 240)
(978, 240)
(977, 241)
(975, 242)
(974, 243)
(970, 244)
(968, 247)
(965, 251)
(964, 253)
(962, 256)
(961, 258)
(959, 263)
(959, 267)
(958, 272)
(955, 275)
(955, 277)
(956, 279)
(956, 280)
(955, 281)
(953, 280)
(949, 281)
(946, 281)
(945, 281)
(946, 280)
(946, 278)
(945, 277)
(943, 277)
(944, 278)
(952, 277)
(957, 276)
(962, 273)
(970, 270)
(973, 269)
(979, 268)
(985, 268)
(989, 268)
(994, 268)
(997, 269)
(997, 271)
(1000, 273)
(1002, 276)
(1002, 276)
(1001, 277)
(1001, 277)
(1002, 277)
(1002, 277)
(1001, 276)
(988, 277)
(985, 278)
(974, 280)
(954, 285)
(939, 293)
(916, 300)
(891, 325)
(896, 331)
(895, 340)
(877, 360)
(855, 392)
(845, 416)
(840, 439)
(835, 476)
(844, 438)
(844, 438)
(839, 483)
(838, 508)
(842, 547)
(844, 557)
(852, 608)
(867, 623)
(910, 620)
(936, 623)
(948, 620)
(1053, 615)
(1109, 717)
(1036, 689)
(1025, 665)
(1045, 674)
(1155, 674)
(1265, 663)
(1334, 649)
(1317, 621)
(1249, 599)
(1159, 556)
(1117, 554)
(1098, 545)
(1206, 557)
(1218, 567)
(1224, 609)
(1233, 607)
(1233, 558)
(1284, 513)
(1345, 522)
(1320, 522)
(1310, 527)
(1321, 527)
(1325, 515)
(1338, 496)
(1351, 485)
(1364, 460)
(1369, 450)
(1381, 439)
(1388, 430)
(1404, 420)
(1408, 412)
(1416, 401)
(1419, 392)
(1431, 386)
(1435, 384)
(1444, 377)
(1452, 372)
(1461, 364)
(1466, 359)
(1472, 354)
(1475, 351)
(1481, 346)
(1485, 340)
(1492, 340)
(1495, 337)
(1502, 336)
(1507, 334)
(1511, 331)
(1517, 326)
(1522, 322)
(1524, 321)
(1527, 320)
(1531, 319)
(1533, 316)
(1536, 313)
(1540, 310)
(1544, 305)
(1546, 306)
(1550, 305)
(1554, 304)
(1557, 303)
(1562, 298)
(1563, 297)
(1566, 296)
(1567, 294)
(1569, 293)
(1569, 292)
(1570, 291)
(1570, 291)
(1573, 290)
(1576, 289)
(1579, 288)
(1581, 286)
(1583, 285)
(1584, 282)
(1586, 281)
(1587, 279)
(1589, 277)
(1591, 276)
(1593, 275)
(1595, 274)
(1597, 271)
(1599, 270)
(1599, 269)
(1600, 268)
(1602, 268)
(1602, 268)
(1604, 268)
(1605, 268)
(1608, 268)
(1610, 268)
(1614, 267)
(1616, 266)
(1619, 266)
(1621, 266)
(1625, 265)
